overallGrowth,12796600.75827641
marginalGrowth,2071948.624998766
January,-73554.63631288306
February,525841.3441001775
March,145222.76929018207
April,1282081.019025587
May,2022772.0768919229
June,1104846.3003702364
July,966297.5135711469
August,1586294.1128040475
September,473480.75703077414
October,1393161.3464745523
November,1769854.6549367816
December,1600303.500261797
openPrice-0,12796619.195726432
openPrice-1,12796619.195726432
openPrice-2,12796619.195790896
openPrice-3,12796619.195790896
openPrice-4,12796619.195790896
openPrice-5,12796619.195803788
openPrice-6,12796619.19581668
openPrice-7,12796619.195932716
openPrice-8,12796619.195932716
openPrice-9,12796619.195932716
openPrice-10,12796619.195932716
openPrice-11,12796619.196164785
openPrice-12,12796619.196126107
openPrice-13,12796619.196280818
openPrice-14,12796619.19652578
openPrice-15,12796619.196409747
openPrice-16,12796619.196409747
openPrice-17,12796619.19642264
openPrice-18,12796619.196087427
openPrice-19,12796619.195984287
openPrice-20,12796619.195997179
openPrice-21,12796619.195958503
openPrice-22,12796619.19594561
openPrice-23,12796619.195932716
openPrice-24,12796619.19594561
openPrice-25,12796619.19594561
openPrice-26,12796619.19594561
openPrice-27,12796619.19594561
openPrice-28,12796619.19594561
openPrice-29,12796619.19594561
openPrice-30,12796619.195958503
openPrice-31,12796619.195958503
openPrice-32,12796619.195958503
openPrice-33,12796619.195958503
openPrice-34,12796619.195971394
openPrice-35,12796619.19594561
openPrice-36,12796619.195971394
openPrice-37,12796619.19594561
openPrice-38,12796619.19594561
openPrice-39,12796619.19594561
openPrice-40,12796619.195958503
openPrice-41,12796619.195971394
openPrice-42,12796619.195971394
openPrice-43,12796619.195971394
openPrice-44,12796619.195958503
openPrice-45,12796619.195919823
openPrice-46,12796619.19590693
openPrice-47,12796619.195932716
openPrice-48,12796619.195971394
openPrice-49,12796619.19622925
openPrice-50,12796619.196255034
openPrice-51,12796619.196306605
openPrice-52,12796619.195997179
openPrice-53,12796619.196293712
openPrice-54,12796619.19610032
openPrice-55,12796619.196126107
openPrice-56,12796619.196126107
openPrice-57,12796619.196164785
openPrice-58,12796619.196216356
openPrice-59,12796619.19622925
closePrice-0,12796619.195803788
closePrice-1,12796619.195803788
closePrice-2,12796619.195790896
closePrice-3,12796619.195790896
closePrice-4,12796619.195790896
closePrice-5,12796619.19581668
closePrice-6,12796619.19581668
